respondentid,do_you_typically_check_a_daily_weather_report,how_do_you_typically_check_the_weather,a_specific_website_or_app_please_provide_the_answer,if_you_had_a_smartwatch_like_the_soon_to_be_released_apple_watch_how_likely_or_unlikely_would_you_be_to_check_the_weather_on_that_device,age,what_is_your_gender,how_much_total_combined_money_did_all_members_of_your_household_earn_last_year,us_region
3878462883,False,Local TV News,-,Somewhat likely,30 - 44,Male,Prefer not to answer,Pacific
3878450038,True,Local TV News,-,Very unlikely,60+,Male,Prefer not to answer,West South Central
3878449625,False,Local TV News,-,Very unlikely,30 - 44,Female,"$10,000 to $24,999",Pacific
3878445660,True,Local TV News,-,Very likely,45 - 59,Male,"$25,000 to $49,999",Pacific
3878443579,True,Internet search,-,Somewhat likely,45 - 59,Male,"$100,000 to $124,999",Pacific
3878436241,False,Internet search,-,Somewhat unlikely,60+,Female,"$125,000 to $149,999",Pacific
3878436018,True,Internet search,-,Very likely,18 - 29,Male,"$25,000 to $49,999",Pacific
3878432043,True,The default weather app on your phone,-,Somewhat likely,30 - 44,Female,"$10,000 to $24,999",South Atlantic
3878431247,True,The Weather Channel,-,Very likely,60+,Female,"$25,000 to $49,999",Pacific
3878426886,True,The Weather Channel,-,Somewhat unlikely,30 - 44,Female,"$100,000 to $124,999",West South Central
3878426515,True,Local TV News,-,Very unlikely,60+,Male,"$50,000 to $74,999",New England
3878425988,False,Internet search,-,Somewhat unlikely,60+,Female,Prefer not to answer,Pacific
3878424879,True,Local TV News,-,Very unlikely,60+,Male,"$10,000 to $24,999",Mountain
3878417014,True,Internet search,-,Very likely,60+,Female,"$75,000 to $99,999",East North Central
3878413474,True,Internet search,-,Very likely,30 - 44,Female,Prefer not to answer,South Atlantic
3878409427,False,The default weather app on your phone,-,Very likely,30 - 44,Female,"$25,000 to $49,999",South Atlantic
3878405540,False,Internet search,-,Somewhat unlikely,60+,Male,"$50,000 to $74,999",South Atlantic
3878404884,True,The Weather Channel,-,Very likely,60+,Male,"$10,000 to $24,999",Middle Atlantic
3878404363,False,The default weather app on your phone,-,Very likely,60+,Female,"$175,000 to $199,999",South Atlantic
3878404022,True,The default weather app on your phone,-,Very likely,30 - 44,Female,"$150,000 to $174,999",Middle Atlantic
3878401700,True,Local TV News,-,Somewhat likely,60+,Female,"$25,000 to $49,999",West North Central
3878398785,True,The default weather app on your phone,-,Somewhat likely,30 - 44,Female,"$100,000 to $124,999",South Atlantic
3878396691,True,Local TV News,-,Very unlikely,30 - 44,Male,"$75,000 to $99,999",West North Central
3878392986,False,Newspaper,-,Very likely,60+,Female,"$10,000 to $24,999",Middle Atlantic
3878388646,True,A specific website or app (please provide the answer),weatherunderground,Very likely,60+,Female,"$10,000 to $24,999",Pacific
3878386420,False,The Weather Channel,-,Very unlikely,18 - 29,Male,"$0 to $9,999",Pacific
3878381396,True,A specific website or app (please provide the answer),wunderground.com,Very unlikely,60+,Male,"$50,000 to $74,999",Pacific
3878370379,True,The default weather app on your phone,-,Somewhat likely,18 - 29,Male,"$125,000 to $149,999",South Atlantic
3878365414,True,Local TV News,-,Very unlikely,60+,Male,"$50,000 to $74,999",West South Central
3878359420,False,Internet search,-,Somewhat unlikely,45 - 59,Male,"$50,000 to $74,999",South Atlantic
3878352834,True,The default weather app on your phone,-,Very unlikely,45 - 59,Male,"$75,000 to $99,999",Pacific
3878349775,True,Local TV News,-,Very unlikely,60+,Male,"$75,000 to $99,999",Pacific
3878349239,True,The Weather Channel,-,Very likely,60+,Male,Prefer not to answer,South Atlantic
3878348366,False,Radio weather,-,Very unlikely,60+,Female,Prefer not to answer,Middle Atlantic
3878348238,True,Internet search,-,Very likely,45 - 59,Male,"$100,000 to $124,999",South Atlantic
3878345997,True,The default weather app on your phone,-,Very likely,60+,Male,"$100,000 to $124,999",South Atlantic
3878345589,True,The default weather app on your phone,-,Very likely,60+,Male,"$50,000 to $74,999",Middle Atlantic
3878340200,False,Local TV News,-,Very likely,45 - 59,Male,"$100,000 to $124,999",East North Central
3878340018,True,A specific website or app (please provide the answer),Weather channel app,Very likely,30 - 44,Female,"$75,000 to $99,999",Middle Atlantic
3878339582,False,The Weather Channel,-,Somewhat unlikely,60+,Male,"$125,000 to $149,999",Mountain
3878339411,True,A specific website or app (please provide the answer),weather.com,Very likely,60+,Female,"$100,000 to $124,999",Pacific
3878337550,True,A specific website or app (please provide the answer),intellicast,Very unlikely,60+,Male,"$100,000 to $124,999",East North Central
3878336326,False,Internet search,-,Very likely,30 - 44,Female,Prefer not to answer,Pacific
3878335390,False,The default weather app on your phone,-,Somewhat likely,60+,Female,Prefer not to answer,Pacific
3878332804,True,The default weather app on your phone,-,Somewhat likely,30 - 44,Female,"$25,000 to $49,999",East North Central
3878331425,True,A specific website or app (please provide the answer),Weather Risk,Somewhat likely,45 - 59,Male,"$50,000 to $74,999",South Atlantic
3878324728,False,Internet search,-,Very unlikely,18 - 29,Male,"$175,000 to $199,999",West South Central
3878324500,True,Internet search,-,Somewhat likely,60+,Female,Prefer not to answer,Middle Atlantic
3878319761,True,A specific website or app (please provide the answer),local newspaper online  Weather Bug  NOAH,Somewhat likely,60+,Female,"$150,000 to $174,999",South Atlantic
3878319271,True,Internet search,-,Somewhat likely,60+,Female,"$25,000 to $49,999",East North Central
3878317738,True,Local TV News,-,Very unlikely,60+,Male,"$50,000 to $74,999",Pacific
3878317474,False,The Weather Channel,-,Somewhat likely,60+,Male,"$100,000 to $124,999",Pacific
3878317326,True,Local TV News,-,Very unlikely,30 - 44,Female,"$50,000 to $74,999",West South Central
3878316445,False,The Weather Channel,-,Very unlikely,60+,Female,Prefer not to answer,Mountain
3878315845,True,Local TV News,-,Very likely,45 - 59,Female,"$50,000 to $74,999",Mountain
3878315601,True,A specific website or app (please provide the answer),AccuWeather or Weather Underground,Very likely,45 - 59,Female,Prefer not to answer,New England
3878313074,True,Radio weather,-,Somewhat unlikely,60+,Female,Prefer not to answer,South Atlantic
3878312380,True,The default weather app on your phone,-,Somewhat likely,60+,Male,"$10,000 to $24,999",East South Central
3878311826,False,Internet search,-,Very unlikely,60+,Male,"$25,000 to $49,999",-
3878311562,True,The default weather app on your phone,-,Very likely,30 - 44,Female,"$25,000 to $49,999",South Atlantic
3878310702,True,Radio weather,-,Somewhat likely,60+,Female,"$50,000 to $74,999",South Atlantic
3878310569,False,Newspaper,-,Very unlikely,60+,Female,"$200,000 and up",Pacific
3878309530,True,A specific website or app (please provide the answer),Weather Underground,Very likely,45 - 59,Male,"$25,000 to $49,999",South Atlantic
3878302658,False,Radio weather,-,Very likely,60+,Female,"$25,000 to $49,999",Pacific
3878296951,False,The Weather Channel,-,Somewhat likely,60+,Female,"$75,000 to $99,999",South Atlantic
3878296336,True,Local TV News,-,Somewhat unlikely,60+,Female,"$100,000 to $124,999",Middle Atlantic
3878295740,True,The default weather app on your phone,-,Very likely,60+,Female,"$50,000 to $74,999",East North Central
3878293399,True,The Weather Channel,-,Somewhat likely,30 - 44,Female,"$200,000 and up",East North Central
3878293163,True,The Weather Channel,-,Very unlikely,60+,Male,"$50,000 to $74,999",South Atlantic
3878291970,True,Local TV News,-,Somewhat likely,45 - 59,Female,Prefer not to answer,Mountain
3878286381,True,Newspaper,-,Somewhat unlikely,60+,Female,"$125,000 to $149,999",New England
3878284921,True,Local TV News,-,Very likely,30 - 44,Female,"$200,000 and up",New England
3878284808,True,Internet search,-,Very unlikely,45 - 59,Male,Prefer not to answer,Pacific
3878280708,True,Radio weather,-,Somewhat likely,60+,Female,"$25,000 to $49,999",East South Central
3878278676,True,The Weather Channel,-,Very likely,60+,Female,"$200,000 and up",South Atlantic
3878278488,True,Local TV News,-,Somewhat likely,60+,Male,"$200,000 and up",Middle Atlantic
3878278271,True,Internet search,-,Very unlikely,45 - 59,Male,Prefer not to answer,East South Central
3878277161,True,A specific website or app (please provide the answer),weather.com,Very likely,60+,Male,"$200,000 and up",New England
3878275261,True,Radio weather,-,Somewhat unlikely,45 - 59,Female,"$75,000 to $99,999",Middle Atlantic
3878274622,True,Internet search,-,Somewhat unlikely,45 - 59,Female,"$75,000 to $99,999",East South Central
3878270558,True,Local TV News,-,Somewhat unlikely,60+,Female,"$25,000 to $49,999",West South Central
3878270404,False,The default weather app on your phone,-,Very unlikely,30 - 44,Female,"$100,000 to $124,999",East North Central
3878269619,True,Newsletter,-,Somewhat likely,45 - 59,Female,"$175,000 to $199,999",South Atlantic
3878269540,True,The default weather app on your phone,-,Very unlikely,30 - 44,Female,Prefer not to answer,South Atlantic
3878268976,True,The Weather Channel,-,Very likely,30 - 44,Female,"$50,000 to $74,999",East North Central
3878267217,True,Local TV News,-,Very likely,45 - 59,Female,"$25,000 to $49,999",West South Central
3878263834,True,Internet search,-,Very likely,60+,Male,"$200,000 and up",Pacific
3878263694,True,The default weather app on your phone,-,Very unlikely,60+,Female,Prefer not to answer,East North Central
3878262512,True,A specific website or app (please provide the answer),"Weatherbug, Storm",Very likely,45 - 59,Male,"$75,000 to $99,999",East South Central
3878261302,False,A specific website or app (please provide the answer),look/feel the weather outside,Very unlikely,45 - 59,Female,"$150,000 to $174,999",East North Central
3878259660,True,The Weather Channel,-,Very likely,45 - 59,Female,"$50,000 to $74,999",Mountain
3878256328,True,Local TV News,-,Very likely,45 - 59,Female,"$0 to $9,999",East South Central
3878255469,True,A specific website or app (please provide the answer),accuweather,Somewhat likely,30 - 44,Female,"$25,000 to $49,999",East North Central
3878255097,False,The default weather app on your phone,-,Somewhat unlikely,45 - 59,Female,"$100,000 to $124,999",West North Central
3878253341,True,The default weather app on your phone,-,Somewhat likely,30 - 44,Female,"$50,000 to $74,999",Mountain
3878252826,True,A specific website or app (please provide the answer),apple-provided site,Somewhat likely,60+,Female,"$100,000 to $124,999",Pacific
3878251387,True,The Weather Channel,-,Very likely,30 - 44,Female,"$10,000 to $24,999",East South Central
3878251359,False,Local TV News,-,Very likely,45 - 59,Female,"$0 to $9,999",Pacific
3878249188,True,Local TV News,-,Very likely,30 - 44,Female,"$25,000 to $49,999",Pacific
3878248250,True,The default weather app on your phone,-,Very likely,30 - 44,Female,"$100,000 to $124,999",East North Central
3878247540,True,The default weather app on your phone,-,Very unlikely,30 - 44,Female,"$50,000 to $74,999",East North Central
3878244194,True,Local TV News,-,Very likely,45 - 59,Male,"$100,000 to $124,999",South Atlantic
3878243755,True,The default weather app on your phone,-,Very likely,30 - 44,Female,"$50,000 to $74,999",Middle Atlantic
3878242397,True,The default weather app on your phone,-,Very unlikely,60+,Female,"$25,000 to $49,999",West North Central
3878239927,True,Radio weather,-,Somewhat likely,60+,Male,"$50,000 to $74,999",Pacific
3878238124,False,Local TV News,-,Very likely,60+,Male,"$50,000 to $74,999",Mountain
3878228000,True,Internet search,-,Very likely,45 - 59,Female,"$25,000 to $49,999",East North Central
3878227923,True,The Weather Channel,-,Very likely,45 - 59,Male,"$100,000 to $124,999",South Atlantic
3878226107,True,Local TV News,-,Somewhat likely,45 - 59,Female,"$25,000 to $49,999",Pacific
3878225639,True,Local TV News,-,Very unlikely,60+,Female,"$150,000 to $174,999",East North Central
3878225361,True,Local TV News,-,Very likely,45 - 59,Female,"$100,000 to $124,999",East North Central
3878224262,True,The default weather app on your phone,-,Very unlikely,45 - 59,Female,Prefer not to answer,East North Central
3878223377,False,A specific website or app (please provide the answer),Weather channel app on my phone and ipad,Somewhat likely,45 - 59,Female,"$150,000 to $174,999",Pacific
3878219443,True,Local TV News,-,Very likely,60+,Female,"$125,000 to $149,999",Middle Atlantic
3878215557,True,Local TV News,-,Somewhat likely,45 - 59,Female,"$75,000 to $99,999",East North Central
3878215555,True,Local TV News,-,Very likely,45 - 59,Female,"$100,000 to $124,999",South Atlantic
3878209275,True,The Weather Channel,-,Very likely,45 - 59,Male,"$10,000 to $24,999",East North Central
3878209013,True,Internet search,-,Very likely,45 - 59,Male,"$50,000 to $74,999",Mountain
3878208724,False,Local TV News,-,Very unlikely,45 - 59,Female,"$50,000 to $74,999",South Atlantic
3878205297,True,Newspaper,-,Very likely,45 - 59,Female,"$75,000 to $99,999",South Atlantic
3878204973,True,Radio weather,-,Somewhat likely,30 - 44,Female,"$50,000 to $74,999",West South Central
3878204241,True,Local TV News,-,Very unlikely,30 - 44,Female,"$25,000 to $49,999",East North Central
3878201710,True,A specific website or app (please provide the answer),Numerous local weather apps,Very unlikely,60+,Female,"$10,000 to $24,999",Middle Atlantic
3878198621,True,Newspaper,-,Very unlikely,45 - 59,Female,"$25,000 to $49,999",Mountain
3878197524,True,Local TV News,-,Very likely,45 - 59,Female,"$25,000 to $49,999",West South Central
3878196162,False,Local TV News,-,Very unlikely,30 - 44,Female,"$25,000 to $49,999",West North Central
3878194430,True,A specific website or app (please provide the answer),The Weather Channel app on my phone,Somewhat likely,45 - 59,Female,"$100,000 to $124,999",West South Central
3878193774,True,The default weather app on your phone,-,Somewhat likely,30 - 44,Male,"$100,000 to $124,999",West North Central
3878193623,True,Local TV News,-,Very likely,45 - 59,Male,"$10,000 to $24,999",West South Central
3878192054,True,A specific website or app (please provide the answer),Accuweather,Somewhat likely,60+,Male,"$25,000 to $49,999",East North Central
3878190686,True,The default weather app on your phone,-,Very likely,45 - 59,Female,"$25,000 to $49,999",South Atlantic
3878190060,True,The default weather app on your phone,-,Somewhat likely,45 - 59,Female,"$100,000 to $124,999",New England
3878189246,True,A specific website or app (please provide the answer),Storm Team 4,Somewhat likely,60+,Male,"$200,000 and up",Middle Atlantic
3878187831,True,Local TV News,-,Very likely,60+,Female,-,West South Central
3878187206,False,The default weather app on your phone,-,Somewhat likely,45 - 59,Female,Prefer not to answer,New England
3878177832,True,The default weather app on your phone,-,Very likely,30 - 44,Male,"$50,000 to $74,999",West North Central
3878176797,True,-,-,-,-,-,-,-
3878176285,True,-,-,-,-,-,-,-
3878175971,True,The default weather app on your phone,-,Very likely,60+,Male,"$75,000 to $99,999",South Atlantic
3878171501,True,The Weather Channel,-,Very unlikely,30 - 44,Female,Prefer not to answer,Middle Atlantic
3878168802,True,Local TV News,-,Very likely,45 - 59,Female,"$75,000 to $99,999",Middle Atlantic
3878166803,True,Local TV News,-,Somewhat unlikely,45 - 59,Female,"$100,000 to $124,999",Middle Atlantic
3878166171,True,A specific website or app (please provide the answer),KCRA online,Very unlikely,45 - 59,Female,Prefer not to answer,Pacific
3878162896,True,A specific website or app (please provide the answer),yahoo weather,Very unlikely,30 - 44,Female,"$25,000 to $49,999",Pacific
3878162631,True,A specific website or app (please provide the answer),Accuweather,Very likely,30 - 44,Female,"$25,000 to $49,999",South Atlantic
3878162069,False,Internet search,-,Somewhat likely,18 - 29,Male,"$75,000 to $99,999",Pacific
3878160615,True,A specific website or app (please provide the answer),weatherbug on my phone,Somewhat likely,45 - 59,Female,"$200,000 and up",West North Central
3878160534,True,The Weather Channel,-,Very likely,45 - 59,Female,"$50,000 to $74,999",Middle Atlantic
3878159600,False,Local TV News,-,Very likely,60+,Female,"$10,000 to $24,999",West South Central
3878159123,True,The default weather app on your phone,-,Somewhat unlikely,30 - 44,Female,"$10,000 to $24,999",West South Central
3878158418,True,The default weather app on your phone,-,Very likely,45 - 59,Male,"$25,000 to $49,999",Pacific
3878156563,True,A specific website or app (please provide the answer),the weather channel app on my phone,Very likely,30 - 44,Female,"$10,000 to $24,999",Pacific
3878151947,False,A specific website or app (please provide the answer),Weather Channel.com,Very likely,60+,Male,Prefer not to answer,Mountain
3878147244,True,Internet search,-,Very likely,60+,Male,"$10,000 to $24,999",West North Central
3878146840,True,Internet search,-,Somewhat likely,18 - 29,Male,"$10,000 to $24,999",West South Central
3878144950,True,Internet search,-,Very unlikely,30 - 44,Female,Prefer not to answer,East South Central
3878139391,True,Newspaper,-,Somewhat unlikely,60+,Female,"$75,000 to $99,999",East North Central
3878137364,True,A specific website or app (please provide the answer),Accuweather,Somewhat likely,45 - 59,Male,"$200,000 and up",-
3878136673,True,A specific website or app (please provide the answer),Weather Channel app on phone,Somewhat likely,45 - 59,Male,"$150,000 to $174,999",Pacific
3878129801,True,Internet search,-,Very likely,45 - 59,Female,"$25,000 to $49,999",West South Central
3878123775,False,Internet search,-,Somewhat likely,60+,Female,"$25,000 to $49,999",Pacific
3878120046,True,The default weather app on your phone,-,Somewhat likely,30 - 44,Female,"$100,000 to $124,999",Pacific
3878118150,True,A specific website or app (please provide the answer), Weather underground ,Very likely,45 - 59,Male,"$200,000 and up",South Atlantic
3878117988,True,The Weather Channel,-,Very likely,45 - 59,Male,"$100,000 to $124,999",East North Central
3878115959,True,The Weather Channel,-,Somewhat unlikely,45 - 59,Female,"$200,000 and up",East North Central
3878114690,True,A specific website or app (please provide the answer),yahoo weather,Very likely,60+,Female,Prefer not to answer,Mountain
3878112779,True,The Weather Channel,-,Somewhat likely,60+,Male,"$150,000 to $174,999",South Atlantic
3878112712,True,A specific website or app (please provide the answer),IPhone,Very likely,45 - 59,Female,"$25,000 to $49,999",East North Central
3878111554,True,Local TV News,-,Very unlikely,60+,Male,"$200,000 and up",Pacific
3878109491,True,The default weather app on your phone,-,Very unlikely,18 - 29,Female,"$75,000 to $99,999",East North Central
3878108075,True,A specific website or app (please provide the answer),intellicast,Very likely,30 - 44,Male,"$100,000 to $124,999",South Atlantic
3878104623,True,The default weather app on your phone,-,Very likely,45 - 59,Female,"$25,000 to $49,999",Mountain
3878102392,False,Local TV News,-,Somewhat likely,45 - 59,Female,"$125,000 to $149,999",Pacific
3878099445,True,Local TV News,-,Somewhat likely,18 - 29,Female,"$10,000 to $24,999",West North Central
3878099081,False,The Weather Channel,-,Somewhat likely,18 - 29,Male,"$10,000 to $24,999",West North Central
3878098952,True,The Weather Channel,-,Very likely,18 - 29,Female,Prefer not to answer,East North Central
3878098258,True,A specific website or app (please provide the answer),Weather Channel app android,Very unlikely,45 - 59,Male,"$100,000 to $124,999",West South Central
3878096992,True,A specific website or app (please provide the answer),NOAA app,Somewhat likely,60+,Male,"$125,000 to $149,999",Middle Atlantic
3878096868,True,A specific website or app (please provide the answer),Via my iPhone builtin app,Very likely,60+,Male,"$25,000 to $49,999",Mountain
3878095559,True,The Weather Channel,-,Very unlikely,18 - 29,Female,"$25,000 to $49,999",Middle Atlantic
3878094553,False,Internet search,-,Very unlikely,18 - 29,Male,Prefer not to answer,-
3878093169,True,The Weather Channel,-,Somewhat unlikely,60+,Male,"$10,000 to $24,999",East South Central
3878093010,True,Internet search,-,Somewhat unlikely,45 - 59,Male,"$75,000 to $99,999",South Atlantic
3878089067,True,The default weather app on your phone,-,Somewhat likely,18 - 29,Female,"$10,000 to $24,999",Mountain
3878088243,True,The default weather app on your phone,-,Very unlikely,18 - 29,Female,"$10,000 to $24,999",East North Central
3878086902,True,The default weather app on your phone,-,Very likely,45 - 59,Male,"$75,000 to $99,999",Pacific
3878086392,False,Internet search,-,Somewhat likely,18 - 29,Female,Prefer not to answer,Pacific
3878085372,True,A specific website or app (please provide the answer),weatherforyou.com,Very unlikely,60+,Female,"$50,000 to $74,999",Mountain
3878084501,True,Local TV News,-,Somewhat likely,30 - 44,Female,"$10,000 to $24,999",Middle Atlantic
3878078991,True,Internet search,-,Very unlikely,30 - 44,Female,"$200,000 and up",Pacific
3878074226,True,Internet search,-,Somewhat likely,60+,Female,Prefer not to answer,South Atlantic
3878064767,True,Local TV News,-,Very unlikely,60+,Male,"$25,000 to $49,999",Pacific
3878064239,True,The Weather Channel,-,Very unlikely,60+,Female,"$125,000 to $149,999",New England
3878061795,True,Internet search,-,Very unlikely,60+,Male,"$25,000 to $49,999",Mountain
3878059916,True,The Weather Channel,-,Somewhat likely,45 - 59,Male,"$150,000 to $174,999",East North Central
3878059307,True,The default weather app on your phone,-,Very likely,60+,Female,"$100,000 to $124,999",East North Central
3878054163,True,The default weather app on your phone,-,Somewhat likely,60+,Female,"$200,000 and up",South Atlantic
3878053524,True,A specific website or app (please provide the answer),Weather Underground through HD Widgets,Somewhat likely,18 - 29,Female,"$75,000 to $99,999",East North Central
3878052764,True,A specific website or app (please provide the answer),Weather Bug,Very unlikely,45 - 59,Male,"$150,000 to $174,999",Pacific
3878052086,True,The default weather app on your phone,-,Very likely,30 - 44,Female,"$100,000 to $124,999",Pacific
3878048164,True,The Weather Channel,-,Somewhat likely,45 - 59,Female,"$50,000 to $74,999",Pacific
3878044812,True,Internet search,-,Very likely,18 - 29,Female,"$75,000 to $99,999",West North Central
3878044317,False,The default weather app on your phone,-,Very likely,45 - 59,Female,"$75,000 to $99,999",East North Central
3878043927,True,The Weather Channel,-,Very likely,45 - 59,Female,Prefer not to answer,Middle Atlantic
3878043272,False,The default weather app on your phone,-,Somewhat likely,18 - 29,Female,"$25,000 to $49,999",Mountain
3878042695,True,The default weather app on your phone,-,Very likely,18 - 29,Female,"$150,000 to $174,999",Middle Atlantic
3878041562,True,The Weather Channel,-,Very likely,45 - 59,Female,"$25,000 to $49,999",West South Central
3878040881,True,Newspaper,-,Very unlikely,45 - 59,Female,"$75,000 to $99,999",Middle Atlantic
3878040492,True,Local TV News,-,Somewhat likely,30 - 44,Female,Prefer not to answer,Pacific
3878040326,True,Local TV News,-,Somewhat likely,30 - 44,Female,"$50,000 to $74,999",East North Central
3878038987,True,The Weather Channel,-,Very likely,45 - 59,Female,"$75,000 to $99,999",Mountain
3878037165,True,A specific website or app (please provide the answer),weather app,Very likely,30 - 44,Female,Prefer not to answer,West North Central
3878035259,True,Local TV News,-,Very likely,60+,Male,"$100,000 to $124,999",Pacific
3878035151,True,A specific website or app (please provide the answer),AccuWeather,Somewhat likely,30 - 44,Female,"$200,000 and up",East North Central
3878035092,True,Local TV News,-,Very likely,30 - 44,Female,"$25,000 to $49,999",South Atlantic
3878034412,True,Local TV News,-,Very unlikely,60+,Female,"$10,000 to $24,999",West North Central
3878033239,True,The default weather app on your phone,-,Very likely,18 - 29,Female,"$75,000 to $99,999",East North Central
3878032634,True,Internet search,-,Somewhat likely,18 - 29,Female,"$10,000 to $24,999",Mountain
3878032607,True,The default weather app on your phone,-,Very likely,60+,Female,"$75,000 to $99,999",Pacific
3878032087,True,Local TV News,-,Very likely,45 - 59,Female,"$75,000 to $99,999",Middle Atlantic
3878031030,True,A specific website or app (please provide the answer),iPhone app,Somewhat likely,30 - 44,Female,"$75,000 to $99,999",East North Central
3878023139,False,Local TV News,-,Very likely,18 - 29,Female,"$0 to $9,999",South Atlantic
3878020495,False,A specific website or app (please provide the answer),National Weather Service site,Very unlikely,45 - 59,Female,"$150,000 to $174,999",Middle Atlantic
3878020282,True,Newspaper,-,Very likely,60+,Female,"$100,000 to $124,999",New England
3878019960,True,Internet search,-,Very unlikely,30 - 44,Female,"$100,000 to $124,999",East North Central
3878019423,True,Local TV News,-,Very likely,60+,Female,"$200,000 and up",South Atlantic
3878018322,True,Newspaper,-,Somewhat likely,60+,Male,Prefer not to answer,East North Central
3878018310,True,The Weather Channel,-,Very likely,60+,Male,"$125,000 to $149,999",New England
3878016803,True,A specific website or app (please provide the answer),accuweather,Very likely,60+,Female,Prefer not to answer,Pacific
3878014756,True,Local TV News,-,Somewhat likely,45 - 59,Female,Prefer not to answer,East North Central
3878013956,True,A specific website or app (please provide the answer),Accuweather,Very likely,18 - 29,Female,Prefer not to answer,South Atlantic
3878012449,True,Local TV News,-,Somewhat likely,45 - 59,Male,"$50,000 to $74,999",Pacific
3878010983,True,Newspaper,-,Somewhat likely,45 - 59,Female,Prefer not to answer,Pacific
3878010950,True,Internet search,-,Somewhat unlikely,60+,Male,"$25,000 to $49,999",Pacific
3878010904,True,Local TV News,-,Very unlikely,60+,Female,Prefer not to answer,West South Central
3878010376,True,The default weather app on your phone,-,Very unlikely,30 - 44,Female,"$100,000 to $124,999",East North Central
3878009694,True,The Weather Channel,-,Very likely,60+,Male,"$25,000 to $49,999",Pacific
3878009691,True,Internet search,-,Very unlikely,30 - 44,Female,"$25,000 to $49,999",Pacific
3878009582,True,A specific website or app (please provide the answer),Weather channel,Very unlikely,45 - 59,Male,Prefer not to answer,Pacific
3878009488,True,Internet search,-,Very unlikely,60+,Female,"$0 to $9,999",Pacific
3878008863,True,Newspaper,-,Somewhat likely,60+,Male,Prefer not to answer,Mountain
3878007018,True,The default weather app on your phone,-,Very likely,60+,Male,"$200,000 and up",South Atlantic
3878005790,True,Internet search,-,Very likely,18 - 29,Female,"$10,000 to $24,999",Mountain
3878001706,True,The default weather app on your phone,-,Very likely,18 - 29,Female,"$100,000 to $124,999",East North Central
3877999985,False,Internet search,-,Very unlikely,45 - 59,Female,"$100,000 to $124,999",Pacific
3877998847,True,A specific website or app (please provide the answer),intellicast,Somewhat likely,60+,Male,Prefer not to answer,South Atlantic
3877998797,True,The Weather Channel,-,Very likely,18 - 29,Female,"$10,000 to $24,999",West South Central
3877997607,True,The Weather Channel,-,Very likely,18 - 29,Female,Prefer not to answer,East North Central
3877996677,False,Local TV News,-,Very unlikely,60+,Male,"$50,000 to $74,999",West South Central
3877995949,True,The Weather Channel,-,Somewhat unlikely,45 - 59,Female,"$75,000 to $99,999",Pacific
3877995873,True,The Weather Channel,-,Very likely,45 - 59,Male,"$50,000 to $74,999",East North Central
3877994295,False,The Weather Channel,-,Somewhat likely,18 - 29,Female,Prefer not to answer,South Atlantic
3877993115,False,Local TV News,-,Very unlikely,18 - 29,Female,"$10,000 to $24,999",South Atlantic
3877992847,True,The default weather app on your phone,-,Somewhat likely,45 - 59,Male,Prefer not to answer,Pacific
3877992331,True,The Weather Channel,-,Very unlikely,60+,Female,Prefer not to answer,West North Central
3877991281,True,The default weather app on your phone,-,Very likely,45 - 59,Female,"$25,000 to $49,999",West South Central
3877990551,True,Local TV News,-,Very likely,60+,Female,Prefer not to answer,New England
3877989849,True,The Weather Channel,-,Very likely,60+,Male,"$125,000 to $149,999",Mountain
3877989016,True,A specific website or app (please provide the answer),Weatherbug,Very unlikely,60+,Male,"$50,000 to $74,999",West South Central
3877986851,True,The default weather app on your phone,-,Very likely,45 - 59,Female,"$125,000 to $149,999",East North Central
3877984798,False,The default weather app on your phone,-,Very unlikely,18 - 29,Female,"$10,000 to $24,999",South Atlantic
3877983130,True,The default weather app on your phone,-,Somewhat likely,18 - 29,Female,"$25,000 to $49,999",West South Central
3877983122,True,The Weather Channel,-,Very likely,45 - 59,Male,"$175,000 to $199,999",West South Central
3877982615,True,A specific website or app (please provide the answer),Weather.com,Very likely,60+,Female,"$25,000 to $49,999",South Atlantic
3877982204,False,Internet search,-,Somewhat unlikely,18 - 29,Female,"$25,000 to $49,999",Middle Atlantic
3877981227,True,Local TV News,-,Somewhat likely,45 - 59,Female,"$125,000 to $149,999",Pacific
3877981098,True,A specific website or app (please provide the answer),the weather channel,Very likely,30 - 44,Female,"$75,000 to $99,999",Middle Atlantic
3877980492,True,A specific website or app (please provide the answer),the weather channel,Somewhat likely,45 - 59,Female,Prefer not to answer,Pacific
3877980484,False,The default weather app on your phone,-,Somewhat unlikely,18 - 29,Female,"$0 to $9,999",Pacific
3877980051,True,The default weather app on your phone,-,Very unlikely,18 - 29,Female,"$25,000 to $49,999",West South Central
3877977794,True,The Weather Channel,-,Very likely,45 - 59,Male,"$100,000 to $124,999",Middle Atlantic
3877976383,True,A specific website or app (please provide the answer),iPhone weather app,Very likely,18 - 29,Female,Prefer not to answer,East South Central
3877975104,True,The Weather Channel,-,Somewhat likely,-,-,-,-
3877973396,True,Radio weather,-,Very unlikely,60+,Male,Prefer not to answer,Middle Atlantic
3877969129,True,A specific website or app (please provide the answer),The Weather Channel for iPhone or iPad ,Very likely,45 - 59,Female,Prefer not to answer,South Atlantic
3877968802,True,Newspaper,-,Somewhat likely,60+,Female,"$100,000 to $124,999",Pacific
3877966982,True,The default weather app on your phone,-,Somewhat likely,18 - 29,Female,"$200,000 and up",New England
